case_id,scenario,map_id,start_x,start_y,goal_x,goal_y,yaw,euclidean_distance,candidate_count,straight_line_safe,difficulty_tag,route_constraint,risk_center_x,risk_center_y,risk_radius
luxury_villa_long_horizon_000,long_horizon,luxury_villa,-6.983,7.035,-12.997,37.445,1.9515,30.999,20,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-9.668,22.304,2.600
luxury_villa_long_horizon_001,long_horizon,luxury_villa,0.000,37.000,-17.000,13.000,0.8781,29.411,23,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-8.429,24.950,2.600
luxury_villa_long_horizon_002,long_horizon,luxury_villa,-12.418,-7.419,-14.143,-18.882,-1.8117,11.592,12,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-13.275,-13.151,2.600
luxury_villa_long_horizon_003,long_horizon,luxury_villa,4.000,24.000,0.000,37.000,2.3895,13.601,7,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,2.400,30.623,2.600
luxury_villa_long_horizon_004,long_horizon,luxury_villa,22.051,1.644,14.431,17.941,1.0226,17.990,12,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,18.725,10.019,2.600
luxury_villa_long_horizon_005,long_horizon,luxury_villa,20.376,-32.820,-3.200,-38.837,-2.5496,24.332,12,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,8.534,-35.618,2.600
luxury_villa_long_horizon_006,long_horizon,luxury_villa,14.000,13.000,4.000,24.000,-2.5668,14.866,15,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,9.294,18.768,2.600
luxury_villa_long_horizon_007,long_horizon,luxury_villa,-3.564,-28.315,20.132,-21.696,0.1409,24.603,18,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,8.234,-24.827,2.600
luxury_villa_long_horizon_008,long_horizon,luxury_villa,18.439,-38.083,19.908,-13.616,0.1875,24.511,27,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,18.753,-25.824,2.600
luxury_villa_long_horizon_009,long_horizon,luxury_villa,0.000,37.000,-17.000,13.000,-2.3567,29.411,23,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-8.317,24.870,2.600
luxury_villa_long_horizon_010,long_horizon,luxury_villa,14.000,13.000,-17.000,13.000,-0.9980,31.000,22,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-1.500,13.528,2.600
luxury_villa_long_horizon_011,long_horizon,luxury_villa,0.000,37.000,-17.000,13.000,1.4918,29.411,23,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-8.738,25.168,2.600
luxury_villa_long_horizon_012,long_horizon,luxury_villa,-0.202,-23.879,19.271,-25.880,-0.9206,19.576,17,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,9.508,-25.137,2.600
luxury_villa_long_horizon_013,long_horizon,luxury_villa,-20.389,19.662,-17.019,-4.027,-1.1267,23.928,13,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-19.116,7.759,2.600
luxury_villa_long_horizon_014,long_horizon,luxury_villa,-21.497,-29.616,-21.961,-4.743,0.3051,24.877,12,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-21.698,-17.179,2.600
luxury_villa_long_horizon_015,long_horizon,luxury_villa,4.000,24.000,-17.000,13.000,2.4900,23.707,18,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-6.494,18.489,2.600
luxury_villa_long_horizon_016,long_horizon,luxury_villa,-22.469,2.324,-12.666,5.371,1.4496,10.266,6,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-17.883,4.861,2.600
luxury_villa_long_horizon_017,long_horizon,luxury_villa,-17.000,13.000,4.000,24.000,2.9890,23.707,18,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-6.468,18.440,2.600
luxury_villa_long_horizon_018,long_horizon,luxury_villa,-17.050,-26.121,-15.937,-36.953,2.4227,10.889,11,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-16.108,-31.497,2.600
luxury_villa_long_horizon_019,long_horizon,luxury_villa,-17.000,13.000,-12.000,-18.000,-0.2397,31.401,18,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-14.891,-2.563,2.600
luxury_villa_long_horizon_020,long_horizon,luxury_villa,-7.066,17.458,6.583,21.103,1.6498,14.127,25,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-0.239,19.272,2.600
luxury_villa_long_horizon_021,long_horizon,luxury_villa,16.774,-3.277,4.767,-13.771,0.0705,15.947,10,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,10.516,-8.233,2.600
luxury_villa_long_horizon_022,long_horizon,luxury_villa,-2.966,27.910,-15.447,3.266,0.6482,27.624,17,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-9.419,15.696,2.600
luxury_villa_long_horizon_023,long_horizon,luxury_villa,-19.695,38.572,-7.320,23.768,-2.3044,19.295,15,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-13.524,31.156,2.600
luxury_villa_long_horizon_024,long_horizon,luxury_villa,4.000,24.000,0.000,37.000,-2.7786,13.601,7,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,1.870,30.460,2.600
luxury_villa_long_horizon_025,long_horizon,luxury_villa,14.000,13.000,0.000,37.000,-1.9785,27.785,21,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,6.581,24.756,2.600
luxury_villa_long_horizon_026,long_horizon,luxury_villa,4.827,-7.660,17.114,-27.619,1.8420,23.438,14,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,11.443,-17.348,2.600
luxury_villa_long_horizon_027,long_horizon,luxury_villa,4.000,24.000,0.000,37.000,0.5683,13.601,7,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,1.598,30.376,2.600
luxury_villa_long_horizon_028,long_horizon,luxury_villa,8.898,-13.193,13.285,4.942,2.6082,18.658,17,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,10.840,-4.065,2.600
luxury_villa_long_horizon_029,long_horizon,luxury_villa,-13.313,-28.981,-2.930,-23.411,0.2298,11.783,6,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-8.239,-25.977,2.600
luxury_villa_long_horizon_030,long_horizon,luxury_villa,20.290,33.400,3.790,39.086,0.2829,17.452,21,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,11.603,34.976,2.600
luxury_villa_long_horizon_031,long_horizon,luxury_villa,-10.420,21.903,14.189,4.519,-0.1618,30.130,28,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,1.806,13.099,2.600
luxury_villa_long_horizon_032,long_horizon,luxury_villa,14.000,13.000,4.000,24.000,1.2863,14.866,15,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,9.298,18.771,2.600
luxury_villa_long_horizon_033,long_horizon,luxury_villa,14.000,13.000,-17.000,13.000,1.0765,31.000,22,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-1.500,13.234,2.600
luxury_villa_long_horizon_034,long_horizon,luxury_villa,-17.000,13.000,-12.000,-18.000,-1.3469,31.401,18,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-15.068,-2.592,2.600
luxury_villa_long_horizon_035,long_horizon,luxury_villa,0.000,37.000,14.000,13.000,-1.3646,27.785,21,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,7.422,25.246,2.600
luxury_villa_long_horizon_036,long_horizon,luxury_villa,14.000,13.000,0.000,37.000,-2.9604,27.785,21,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,6.788,24.876,2.600
luxury_villa_long_horizon_037,long_horizon,luxury_villa,9.476,22.016,13.757,0.033,3.0909,22.396,19,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,13.118,11.317,2.600
luxury_villa_long_horizon_038,long_horizon,luxury_villa,-17.904,-22.708,-2.666,-33.879,-2.0671,18.894,9,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-10.559,-28.668,2.600
luxury_villa_long_horizon_039,long_horizon,luxury_villa,-12.503,-12.661,12.560,-17.062,-1.0826,25.446,14,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-0.055,-15.338,2.600
luxury_villa_long_horizon_040,long_horizon,luxury_villa,0.943,-13.140,4.704,11.408,3.0161,24.834,13,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,3.420,-0.957,2.600
luxury_villa_long_horizon_041,long_horizon,luxury_villa,0.000,37.000,14.000,13.000,-3.0294,27.785,21,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,7.530,25.309,2.600
luxury_villa_long_horizon_042,long_horizon,luxury_villa,21.318,-38.953,13.507,-34.374,-0.6130,9.054,5,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,17.466,-36.572,2.600
luxury_villa_long_horizon_043,long_horizon,luxury_villa,4.000,24.000,-17.000,13.000,-1.0553,23.707,18,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-6.682,18.847,2.600
luxury_villa_long_horizon_044,long_horizon,luxury_villa,7.719,33.890,-1.458,16.654,2.6426,19.527,16,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,3.243,25.212,2.600
luxury_villa_long_horizon_045,long_horizon,luxury_villa,-12.000,-18.000,-17.000,13.000,2.6444,31.401,18,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-14.281,-2.465,2.600
luxury_villa_long_horizon_046,long_horizon,luxury_villa,21.445,39.129,19.377,20.582,-1.3565,18.662,9,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,20.092,29.891,2.600
luxury_villa_long_horizon_047,long_horizon,luxury_villa,10.088,-34.298,-13.894,-15.271,-3.0381,30.613,19,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-1.818,-24.677,2.600
luxury_villa_long_horizon_048,long_horizon,luxury_villa,0.000,37.000,4.000,24.000,1.3349,13.601,7,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,2.247,30.576,2.600
luxury_villa_long_horizon_049,long_horizon,luxury_villa,15.160,22.882,11.754,-4.701,-0.1506,27.792,17,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,13.566,9.077,2.600
luxury_villa_long_horizon_050,long_horizon,luxury_villa,9.308,-28.841,-9.922,-15.501,1.2620,23.404,18,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-0.132,-21.919,2.600
luxury_villa_long_horizon_051,long_horizon,luxury_villa,4.851,-14.777,-16.297,-9.928,-1.0609,21.697,11,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-5.730,-12.383,2.600
luxury_villa_long_horizon_052,long_horizon,luxury_villa,20.843,-17.788,5.335,-32.291,-0.6640,21.233,18,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,13.461,-25.437,2.600
luxury_villa_long_horizon_053,long_horizon,luxury_villa,21.797,22.393,7.527,3.418,-2.7115,23.742,18,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,14.778,12.818,2.600
luxury_villa_long_horizon_054,long_horizon,luxury_villa,-17.964,-9.060,-7.773,18.951,0.0099,29.807,20,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-12.823,4.929,2.600
