case_id,scenario,map_id,start_x,start_y,goal_x,goal_y,yaw,euclidean_distance,candidate_count,straight_line_safe,difficulty_tag,route_constraint,risk_center_x,risk_center_y,risk_radius
reference_family_flat_long_horizon_000,long_horizon,reference_family_flat,-5.651,0.227,22.351,8.701,-0.4233,29.256,16,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,8.231,4.856,2.600
reference_family_flat_long_horizon_001,long_horizon,reference_family_flat,17.000,12.000,-2.500,-6.000,0.6990,26.538,14,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,6.866,3.416,2.600
reference_family_flat_long_horizon_002,long_horizon,reference_family_flat,8.428,-1.260,21.711,-5.390,-1.5457,13.910,9,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,15.191,-2.934,2.600
reference_family_flat_long_horizon_003,long_horizon,reference_family_flat,3.500,14.000,8.500,-15.500,2.7506,29.921,15,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,6.051,-0.741,2.600
reference_family_flat_long_horizon_004,long_horizon,reference_family_flat,13.364,5.860,-8.561,3.906,0.4835,22.012,12,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,2.384,5.077,2.600
reference_family_flat_long_horizon_005,long_horizon,reference_family_flat,17.999,-18.624,2.555,-16.626,1.1090,15.573,16,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,10.353,-17.038,2.600
reference_family_flat_long_horizon_006,long_horizon,reference_family_flat,-2.500,-6.000,18.000,-7.500,0.8331,20.555,17,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,7.714,-7.235,2.600
reference_family_flat_long_horizon_007,long_horizon,reference_family_flat,-2.500,-6.000,-8.500,10.000,1.7131,17.088,10,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-4.899,2.225,2.600
reference_family_flat_long_horizon_008,long_horizon,reference_family_flat,8.500,-15.500,17.000,12.000,1.9012,28.784,14,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,12.221,-1.586,2.600
reference_family_flat_long_horizon_009,long_horizon,reference_family_flat,-19.000,-8.000,-18.000,14.000,-2.7898,22.023,14,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-16.368,2.903,2.600
reference_family_flat_long_horizon_010,long_horizon,reference_family_flat,2.256,14.881,-7.441,7.159,-2.4166,12.396,9,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-2.033,10.318,2.600
reference_family_flat_long_horizon_011,long_horizon,reference_family_flat,-9.888,9.437,3.436,17.825,1.9469,15.744,12,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-3.109,13.445,2.600
reference_family_flat_long_horizon_012,long_horizon,reference_family_flat,-8.727,-10.955,-3.405,8.076,-2.3718,19.761,10,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-5.936,-1.476,2.600
