case_id,scenario,map_id,start_x,start_y,goal_x,goal_y,yaw,euclidean_distance,candidate_count,straight_line_safe,difficulty_tag,route_constraint,risk_center_x,risk_center_y,risk_radius
reference_villa_ground_long_horizon_000,long_horizon,reference_villa_ground,-7.000,10.200,-14.200,-11.200,1.5368,22.579,12,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-10.220,-0.628,2.600
reference_villa_ground_long_horizon_001,long_horizon,reference_villa_ground,0.585,-18.855,17.478,-18.479,-3.0973,16.897,10,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,9.019,-18.098,2.600
reference_villa_ground_long_horizon_002,long_horizon,reference_villa_ground,15.400,-9.500,-0.200,4.600,1.2463,21.028,13,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,7.546,-2.510,2.600
reference_villa_ground_long_horizon_003,long_horizon,reference_villa_ground,0.461,7.330,-15.726,15.309,1.5305,18.047,10,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-7.625,11.335,2.600
reference_villa_ground_long_horizon_004,long_horizon,reference_villa_ground,-16.000,16.000,13.800,7.000,2.1686,31.129,18,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-1.051,11.661,2.600
reference_villa_ground_long_horizon_005,long_horizon,reference_villa_ground,11.795,-7.399,16.312,-19.854,1.9033,13.249,9,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,13.755,-13.735,2.600
reference_villa_ground_long_horizon_006,long_horizon,reference_villa_ground,19.028,6.342,6.442,-6.812,1.5889,18.205,9,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,12.654,-0.157,2.600
reference_villa_ground_long_horizon_007,long_horizon,reference_villa_ground,-2.286,-12.787,-18.024,8.173,1.5660,26.211,14,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-10.012,-2.199,2.600
reference_villa_ground_long_horizon_008,long_horizon,reference_villa_ground,15.000,-20.500,-14.200,-11.200,-0.6348,30.645,19,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,0.458,-15.668,2.600
reference_villa_ground_long_horizon_009,long_horizon,reference_villa_ground,0.275,-9.354,11.883,13.792,-2.6447,25.894,13,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,5.648,2.435,2.600
reference_villa_ground_long_horizon_010,long_horizon,reference_villa_ground,3.394,11.996,-0.268,-18.980,2.4023,31.192,15,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,1.686,-3.507,2.600
reference_villa_ground_long_horizon_011,long_horizon,reference_villa_ground,6.969,10.863,-2.729,-0.744,-1.2628,15.125,10,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,1.155,5.866,2.600
reference_villa_ground_long_horizon_012,long_horizon,reference_villa_ground,6.296,0.354,0.808,7.826,0.7793,9.271,8,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,4.026,4.438,2.600
reference_villa_ground_long_horizon_013,long_horizon,reference_villa_ground,2.784,-0.759,11.795,-14.635,2.5421,16.545,10,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,6.791,-8.021,2.600
reference_villa_ground_long_horizon_014,long_horizon,reference_villa_ground,-4.800,-6.400,-7.000,10.200,0.4941,16.745,17,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-6.327,1.843,2.600
reference_villa_ground_long_horizon_015,long_horizon,reference_villa_ground,-4.800,-6.400,15.400,-9.500,0.8209,20.436,14,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,5.378,-7.441,2.600
