case_id,scenario,map_id,start_x,start_y,goal_x,goal_y,yaw,euclidean_distance,candidate_count,straight_line_safe,difficulty_tag,route_constraint,risk_center_x,risk_center_y,risk_radius
studio_apartment_long_horizon_000,long_horizon,studio_apartment,-9.500,24.000,9.000,6.500,2.4213,25.466,16,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-0.207,15.295,2.600
studio_apartment_long_horizon_001,long_horizon,studio_apartment,-0.488,24.795,-3.404,-2.672,-1.4805,27.621,13,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-1.872,11.054,2.600
studio_apartment_long_horizon_002,long_horizon,studio_apartment,10.213,25.003,11.194,-0.668,-2.2621,25.690,13,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,11.394,12.194,2.600
studio_apartment_long_horizon_003,long_horizon,studio_apartment,10.225,21.336,-1.533,17.249,-1.4043,12.448,11,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,4.509,18.823,2.600
studio_apartment_long_horizon_004,long_horizon,studio_apartment,1.411,-4.100,-2.605,-19.177,-0.2217,15.603,8,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-1.176,-11.484,2.600
studio_apartment_long_horizon_005,long_horizon,studio_apartment,-3.966,-6.627,-11.070,-23.567,2.7793,18.369,10,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-7.556,-15.081,2.600
studio_apartment_long_horizon_006,long_horizon,studio_apartment,0.196,12.804,-5.730,-0.929,2.7753,14.957,7,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-2.853,5.974,2.600
studio_apartment_long_horizon_007,long_horizon,studio_apartment,8.000,-24.000,9.000,6.500,1.1229,30.516,17,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,8.268,-8.742,2.600
studio_apartment_long_horizon_008,long_horizon,studio_apartment,-9.500,24.000,-11.500,16.000,3.0754,8.246,4,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-10.982,20.121,2.600
studio_apartment_long_horizon_009,long_horizon,studio_apartment,8.302,-3.590,-2.878,8.960,-1.2152,16.808,8,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,2.563,2.552,2.600
studio_apartment_long_horizon_010,long_horizon,studio_apartment,-9.500,24.000,-11.500,16.000,1.5169,8.246,4,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-11.019,20.130,2.600
studio_apartment_long_horizon_011,long_horizon,studio_apartment,-4.661,8.930,-6.006,25.255,3.0715,16.380,10,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-4.804,17.136,2.600
studio_apartment_long_horizon_012,long_horizon,studio_apartment,9.000,6.500,-9.500,24.000,-1.0442,25.466,16,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-0.686,14.789,2.600
studio_apartment_long_horizon_013,long_horizon,studio_apartment,-4.001,-24.231,1.818,-9.445,-1.1904,15.890,8,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-0.627,-17.021,2.600
studio_apartment_long_horizon_014,long_horizon,studio_apartment,-1.412,-26.978,6.905,-16.558,-1.3135,13.332,7,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,3.046,-22.007,2.600
studio_apartment_long_horizon_015,long_horizon,studio_apartment,-6.000,-12.000,-11.500,16.000,-1.9744,28.535,18,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-9.338,1.885,2.600
studio_apartment_long_horizon_016,long_horizon,studio_apartment,-3.128,-24.568,0.855,-0.487,1.5738,24.408,13,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-0.575,-12.620,2.600
studio_apartment_long_horizon_017,long_horizon,studio_apartment,9.000,6.500,8.000,-24.000,-2.4538,30.516,17,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,8.312,-8.744,2.600
studio_apartment_long_horizon_018,long_horizon,studio_apartment,-0.449,15.438,3.679,6.336,-1.5352,9.994,5,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,1.926,11.028,2.600
studio_apartment_long_horizon_019,long_horizon,studio_apartment,3.711,-7.900,10.721,17.771,-0.8331,26.611,15,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,6.605,5.102,2.600
studio_apartment_long_horizon_020,long_horizon,studio_apartment,9.000,6.500,-6.000,-12.000,1.8177,23.817,14,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,2.266,-3.371,2.600
studio_apartment_long_horizon_021,long_horizon,studio_apartment,9.030,-3.560,9.385,23.581,-1.4014,27.143,14,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,6.036,10.052,2.600
studio_apartment_long_horizon_022,long_horizon,studio_apartment,2.118,-4.854,-4.891,13.402,1.9841,19.555,10,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-1.102,4.383,2.600
studio_apartment_long_horizon_023,long_horizon,studio_apartment,11.611,-10.074,-11.507,6.849,0.5391,28.650,15,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-0.115,-1.840,2.600
studio_apartment_long_horizon_024,long_horizon,studio_apartment,-10.372,27.754,2.269,16.038,0.9940,17.235,9,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-3.894,22.066,2.600
studio_apartment_long_horizon_025,long_horizon,studio_apartment,11.471,6.161,4.256,21.561,-1.2443,17.006,10,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,6.876,13.398,2.600
studio_apartment_long_horizon_026,long_horizon,studio_apartment,-1.249,6.843,4.254,-22.644,-2.5603,29.996,15,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,1.605,-7.881,2.600
studio_apartment_long_horizon_027,long_horizon,studio_apartment,-6.737,-0.162,-5.107,-8.470,1.9106,8.466,4,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-6.005,-4.332,2.600
studio_apartment_long_horizon_028,long_horizon,studio_apartment,-2.860,-22.506,-9.345,-11.371,-0.6716,12.886,7,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-4.800,-16.180,2.600
studio_apartment_long_horizon_029,long_horizon,studio_apartment,11.583,-22.282,6.060,-1.987,-1.6336,21.033,11,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,8.808,-12.138,2.600
studio_apartment_long_horizon_030,long_horizon,studio_apartment,-4.007,17.954,-2.842,4.271,1.7466,13.733,7,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-3.038,11.145,2.600
studio_apartment_long_horizon_031,long_horizon,studio_apartment,9.831,-25.573,-9.804,-0.395,1.2567,31.929,17,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,0.019,-12.979,2.600
studio_apartment_long_horizon_032,long_horizon,studio_apartment,8.000,-24.000,-6.000,-12.000,2.3014,18.439,12,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,1.048,-17.944,2.600
studio_apartment_long_horizon_033,long_horizon,studio_apartment,5.847,-19.908,-11.086,-2.261,-1.3728,24.457,12,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-2.928,-11.381,2.600
studio_apartment_long_horizon_034,long_horizon,studio_apartment,9.000,6.500,-6.000,-12.000,2.5151,23.817,14,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,2.653,-3.685,2.600
studio_apartment_long_horizon_035,long_horizon,studio_apartment,10.817,-16.836,-0.992,-9.930,2.2371,13.680,9,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,4.963,-13.296,2.600
studio_apartment_long_horizon_036,long_horizon,studio_apartment,0.127,24.012,-8.997,4.917,-0.9713,21.163,12,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-4.846,14.661,2.600
studio_apartment_long_horizon_037,long_horizon,studio_apartment,-9.500,24.000,-11.500,16.000,0.3019,8.246,4,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-9.989,19.872,2.600
studio_apartment_long_horizon_038,long_horizon,studio_apartment,8.000,-24.000,-6.000,-12.000,-1.7844,18.439,12,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,1.393,-17.542,2.600
studio_apartment_long_horizon_039,long_horizon,studio_apartment,-11.500,16.000,-6.000,-12.000,1.6976,28.535,18,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-8.964,1.958,2.600
studio_apartment_long_horizon_040,long_horizon,studio_apartment,-9.773,-2.201,11.798,-13.507,-2.1273,24.354,12,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,0.912,-8.046,2.600
studio_apartment_long_horizon_041,long_horizon,studio_apartment,4.657,-10.955,-10.301,-22.259,-2.1130,18.749,9,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-2.556,-16.959,2.600
studio_apartment_long_horizon_042,long_horizon,studio_apartment,8.377,7.342,-9.060,-2.770,1.2375,20.157,10,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-0.401,2.388,2.600
studio_apartment_long_horizon_043,long_horizon,studio_apartment,0.917,-21.307,-7.396,0.709,-2.8752,23.533,12,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-2.681,-10.088,2.600
studio_apartment_long_horizon_044,long_horizon,studio_apartment,-6.000,-12.000,9.000,6.500,-0.0348,23.817,13,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,2.088,-3.227,2.600
studio_apartment_long_horizon_045,long_horizon,studio_apartment,-0.230,-1.309,1.632,-16.647,-0.0294,15.451,8,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,0.542,-8.997,2.600
studio_apartment_long_horizon_046,long_horizon,studio_apartment,8.500,18.025,-10.838,-1.269,-1.1029,27.317,20,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-1.539,8.748,2.600
