case_id,scenario,map_id,start_x,start_y,goal_x,goal_y,yaw,euclidean_distance,candidate_count,straight_line_safe,difficulty_tag,route_constraint,risk_center_x,risk_center_y,risk_radius
townhouse_long_long_horizon_000,long_horizon,townhouse_long,5.573,10.330,-7.445,-8.776,1.6564,23.119,12,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-0.690,0.609,2.600
townhouse_long_long_horizon_001,long_horizon,townhouse_long,-1.213,-10.743,-3.604,-19.180,0.3503,8.769,5,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-2.821,-14.845,2.600
townhouse_long_long_horizon_002,long_horizon,townhouse_long,6.000,12.000,-3.000,36.000,1.9506,25.632,14,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,1.182,23.881,2.600
townhouse_long_long_horizon_003,long_horizon,townhouse_long,-2.898,7.126,6.612,19.006,1.9304,15.218,8,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,2.141,12.838,2.600
townhouse_long_long_horizon_004,long_horizon,townhouse_long,-0.957,18.836,6.746,9.046,0.3941,12.457,6,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,2.615,13.721,2.600
townhouse_long_long_horizon_005,long_horizon,townhouse_long,0.000,-8.000,-5.500,20.000,1.1193,28.535,15,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-2.345,6.080,2.600
townhouse_long_long_horizon_006,long_horizon,townhouse_long,-5.500,20.000,-3.000,36.000,-2.4399,16.194,8,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-2.887,27.787,2.600
townhouse_long_long_horizon_007,long_horizon,townhouse_long,6.565,6.427,-1.650,15.859,-0.3148,12.508,7,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,2.694,11.349,2.600
townhouse_long_long_horizon_008,long_horizon,townhouse_long,-2.797,8.812,-5.789,-12.064,-1.4961,21.089,11,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-3.891,-1.684,2.600
townhouse_long_long_horizon_009,long_horizon,townhouse_long,5.168,1.037,6.145,10.768,2.1322,9.780,7,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,5.746,5.893,2.600
townhouse_long_long_horizon_010,long_horizon,townhouse_long,0.952,-35.184,-3.431,-17.670,0.3869,18.054,9,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-1.261,-26.432,2.600
townhouse_long_long_horizon_011,long_horizon,townhouse_long,6.000,12.000,0.000,-8.000,-1.8127,20.881,12,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,3.098,1.970,2.600
townhouse_long_long_horizon_012,long_horizon,townhouse_long,0.000,-8.000,6.000,12.000,-2.8225,20.881,11,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,3.348,1.896,2.600
townhouse_long_long_horizon_013,long_horizon,townhouse_long,0.000,-25.000,0.000,-8.000,3.0851,17.000,8,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,0.258,-16.500,2.600
townhouse_long_long_horizon_014,long_horizon,townhouse_long,1.261,-14.603,-4.086,-34.321,1.8324,20.430,10,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-1.479,-24.444,2.600
townhouse_long_long_horizon_015,long_horizon,townhouse_long,-5.619,15.216,-7.482,-14.631,0.9879,29.905,16,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-6.495,0.289,2.600
townhouse_long_long_horizon_016,long_horizon,townhouse_long,0.000,-8.000,0.000,-25.000,-2.8772,17.000,8,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-0.623,-16.500,2.600
townhouse_long_long_horizon_017,long_horizon,townhouse_long,4.098,31.335,-1.448,16.711,1.4813,15.640,8,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,0.825,24.213,2.600
townhouse_long_long_horizon_018,long_horizon,townhouse_long,-2.107,8.984,1.784,28.300,0.2904,19.704,10,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-0.535,18.717,2.600
townhouse_long_long_horizon_019,long_horizon,townhouse_long,-3.000,36.000,5.500,20.000,0.1485,18.118,12,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,1.143,27.943,2.600
townhouse_long_long_horizon_020,long_horizon,townhouse_long,5.500,20.000,-3.000,36.000,-0.7318,18.118,12,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,0.925,27.827,2.600
townhouse_long_long_horizon_021,long_horizon,townhouse_long,7.389,0.294,1.371,17.694,1.7159,18.411,10,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,4.028,8.872,2.600
townhouse_long_long_horizon_022,long_horizon,townhouse_long,3.645,33.953,-8.116,32.142,-2.6933,11.900,16,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-2.137,32.410,2.600
townhouse_long_long_horizon_023,long_horizon,townhouse_long,4.976,37.201,2.589,18.032,-2.9775,19.317,10,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,3.341,27.671,2.600
townhouse_long_long_horizon_024,long_horizon,townhouse_long,5.500,20.000,0.000,-8.000,-0.6136,28.535,14,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,3.200,5.912,2.600
townhouse_long_long_horizon_025,long_horizon,townhouse_long,7.751,33.679,-3.468,6.278,-2.1974,29.609,15,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,2.381,19.881,2.600
townhouse_long_long_horizon_026,long_horizon,townhouse_long,0.000,-8.000,-5.500,20.000,0.7613,28.535,15,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-2.606,6.028,2.600
townhouse_long_long_horizon_027,long_horizon,townhouse_long,-3.382,7.346,1.150,-22.905,2.2247,30.589,14,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-0.807,-7.733,2.600
townhouse_long_long_horizon_028,long_horizon,townhouse_long,8.483,14.091,-5.217,-11.640,-2.8910,29.151,15,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,1.310,1.397,2.600
townhouse_long_long_horizon_029,long_horizon,townhouse_long,-0.680,12.062,-6.211,1.640,3.0736,11.799,7,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-2.891,6.556,2.600
townhouse_long_long_horizon_030,long_horizon,townhouse_long,0.000,-25.000,0.000,-8.000,1.0468,17.000,8,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-0.618,-16.500,2.600
townhouse_long_long_horizon_031,long_horizon,townhouse_long,-2.714,-17.859,6.439,-18.502,1.1573,9.176,5,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,1.818,-18.813,2.600
townhouse_long_long_horizon_032,long_horizon,townhouse_long,-3.760,-22.139,-8.549,-34.802,-1.5843,13.538,7,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-6.928,-28.178,2.600
