case_id,scenario,map_id,start_x,start_y,goal_x,goal_y,yaw,euclidean_distance,candidate_count,straight_line_safe,difficulty_tag,route_constraint,risk_center_x,risk_center_y,risk_radius
long_horizon_000,long_horizon,reference_family_flat,7.455,-17.604,-1.093,-5.783,1.6110,14.589,12,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,4.250,-4.050,2.600
long_horizon_001,long_horizon,reference_family_flat,3.612,8.624,12.245,15.621,-1.4154,11.113,16,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,11.220,4.570,2.600
long_horizon_002,long_horizon,reference_family_flat,-16.213,1.977,-22.955,9.088,1.0709,9.799,10,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-14.450,8.050,2.600
long_horizon_003,long_horizon,reference_family_flat,-8.858,-3.108,-7.306,6.169,2.3010,9.406,5,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-7.930,2.460,2.600
long_horizon_004,long_horizon,reference_family_flat,-15.413,0.633,-20.071,-12.772,0.8035,14.191,8,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-16.680,-7.470,2.600
long_horizon_005,long_horizon,reference_family_flat,21.274,5.299,25.426,-5.205,-2.5888,11.295,11,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,15.800,-2.950,2.600
long_horizon_006,long_horizon,reference_family_flat,-6.171,2.707,-5.345,-13.392,-1.1732,16.120,9,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-5.100,-7.490,2.600
long_horizon_007,long_horizon,reference_family_flat,25.288,9.045,21.369,-2.081,-2.4476,11.797,13,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,15.800,6.030,2.600
long_horizon_008,long_horizon,reference_family_flat,1.562,19.303,-1.418,10.157,-1.7607,9.620,5,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-0.780,14.050,2.600
long_horizon_009,long_horizon,reference_family_flat,25.400,-15.448,10.722,-17.053,2.1974,14.766,11,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,14.700,-11.750,2.600
long_horizon_010,long_horizon,reference_family_flat,-11.423,-1.673,-25.283,-4.307,-1.6541,14.108,8,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-20.050,-4.110,2.600
long_horizon_011,long_horizon,reference_family_flat,-6.339,18.384,3.577,12.171,1.4984,11.702,12,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-1.430,6.950,2.600
long_horizon_012,long_horizon,reference_family_flat,-22.830,-17.748,-12.676,-1.686,2.0902,19.002,13,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-15.960,-6.800,2.600
long_horizon_013,long_horizon,reference_family_flat,9.077,19.166,9.340,8.229,-1.0582,10.941,5,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,9.240,12.600,2.600
long_horizon_014,long_horizon,reference_family_flat,24.087,-0.255,11.596,-5.112,-2.5574,13.402,8,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,15.160,-0.600,2.600
long_horizon_015,long_horizon,reference_family_flat,1.375,-2.431,-7.769,9.516,0.7422,15.045,7,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-3.850,4.400,2.600
long_horizon_016,long_horizon,reference_family_flat,-13.265,-3.281,-14.820,8.911,-2.4736,12.291,6,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-13.770,5.340,2.600
long_horizon_017,long_horizon,reference_family_flat,15.784,-18.209,7.184,-10.085,3.0860,11.831,9,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,13.600,-13.400,2.600
long_horizon_018,long_horizon,reference_family_flat,8.153,13.138,25.026,18.060,-0.5086,17.576,23,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,10.300,4.040,2.600
long_horizon_019,long_horizon,reference_family_flat,-14.040,-0.672,3.950,1.146,-0.3513,18.082,9,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-4.050,0.340,2.600
long_horizon_020,long_horizon,reference_family_flat,7.394,-14.223,-5.840,-10.956,-1.9125,13.631,9,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,2.600,-10.650,2.600
long_horizon_021,long_horizon,reference_family_flat,16.931,1.880,4.401,-8.478,-0.9022,16.257,8,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,9.050,-5.110,2.600
long_horizon_022,long_horizon,reference_family_flat,1.782,16.047,-8.133,19.286,1.4086,10.431,15,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-2.900,6.950,2.600
long_horizon_023,long_horizon,reference_family_flat,-25.256,9.804,-20.331,-9.517,-3.0657,19.939,18,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-15.000,0.490,2.600
long_horizon_024,long_horizon,reference_family_flat,7.832,-10.933,-3.425,-9.787,-3.0659,11.315,8,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,0.680,-10.650,2.600
long_horizon_025,long_horizon,reference_family_flat,10.322,17.122,15.786,6.080,2.9908,12.320,18,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,4.250,2.140,2.600
long_horizon_026,long_horizon,reference_family_flat,12.127,6.745,23.471,19.318,-1.3353,16.934,9,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,18.180,13.920,2.600
long_horizon_027,long_horizon,reference_family_flat,-21.980,-1.850,-17.315,11.392,-2.0295,14.039,13,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-13.900,2.000,2.600
long_horizon_028,long_horizon,reference_family_flat,11.898,4.255,12.102,-10.823,0.8011,15.080,8,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,10.570,-5.420,2.600
long_horizon_029,long_horizon,reference_family_flat,-14.908,13.206,-22.222,6.050,1.5634,10.232,14,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-14.450,1.450,2.600
long_horizon_030,long_horizon,reference_family_flat,16.137,9.218,1.903,-0.561,-0.6719,17.270,10,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,7.370,1.270,2.600
long_horizon_031,long_horizon,reference_family_flat,-13.014,13.708,-2.817,-2.630,2.7924,19.259,9,1,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-7.350,4.630,2.600
long_horizon_032,long_horizon,reference_family_flat,-18.169,18.117,-1.518,16.625,-0.4409,16.718,19,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-4.160,7.660,2.600
long_horizon_033,long_horizon,reference_family_flat,1.975,0.142,-6.256,-8.277,0.1330,11.774,8,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,-3.080,-6.430,2.600
long_horizon_034,long_horizon,reference_family_flat,24.743,4.844,9.944,14.660,2.4411,17.758,20,0,long_horizon_topological,Decompose the long-horizon route into stable intermediate waypoints.,4.530,0.900,2.600
