case_id,scenario,map_id,start_x,start_y,goal_x,goal_y,yaw,euclidean_distance,candidate_count,straight_line_safe,difficulty_tag,route_constraint,risk_center_x,risk_center_y,risk_radius
semantic_constraint_000,semantic_constraint,reference_family_flat,7.455,-17.604,-1.093,-5.783,1.6110,14.589,12,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,4.250,-4.050,2.600
semantic_constraint_001,semantic_constraint,reference_family_flat,3.612,8.624,12.245,15.621,-1.4154,11.113,16,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,11.220,4.570,2.600
semantic_constraint_002,semantic_constraint,reference_family_flat,-16.213,1.977,-22.955,9.088,1.0709,9.799,10,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-14.450,8.050,2.600
semantic_constraint_003,semantic_constraint,reference_family_flat,-16.716,-4.243,-8.238,-1.920,2.3010,8.790,6,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-11.620,-2.160,2.600
semantic_constraint_004,semantic_constraint,reference_family_flat,-2.862,-18.853,-15.519,-10.717,0.8035,15.046,17,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-13.270,-4.130,2.600
semantic_constraint_005,semantic_constraint,reference_family_flat,4.707,9.478,15.929,16.831,-2.5888,13.417,17,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,9.750,3.380,2.600
semantic_constraint_006,semantic_constraint,reference_family_flat,5.410,-19.423,15.166,-15.924,-1.1732,10.365,9,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,13.600,-13.400,2.600
semantic_constraint_007,semantic_constraint,reference_family_flat,21.274,5.299,25.426,-5.205,-2.4476,11.295,11,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,15.800,-2.950,2.600
semantic_constraint_008,semantic_constraint,reference_family_flat,-9.689,-5.998,-18.010,-8.633,-1.7607,8.728,8,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-15.820,-4.320,2.600
semantic_constraint_009,semantic_constraint,reference_family_flat,-5.620,-18.020,9.068,-18.023,2.1974,14.688,14,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,4.800,-8.450,2.600
semantic_constraint_010,semantic_constraint,reference_family_flat,4.373,18.322,-11.444,13.263,-1.6541,16.606,15,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-1.430,6.950,2.600
semantic_constraint_011,semantic_constraint,reference_family_flat,1.740,-3.252,3.071,6.953,1.4984,10.291,5,1,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,2.540,2.870,2.600
semantic_constraint_012,semantic_constraint,reference_family_flat,11.334,6.659,21.829,8.873,2.0902,10.727,7,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,16.350,8.050,2.600
semantic_constraint_013,semantic_constraint,reference_family_flat,-6.339,18.384,3.577,12.171,-1.0582,11.702,12,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-1.430,6.950,2.600
semantic_constraint_014,semantic_constraint,reference_family_flat,-16.619,-3.117,-3.717,-2.793,-2.5574,12.906,7,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-9.360,-2.600,2.600
semantic_constraint_015,semantic_constraint,reference_family_flat,9.899,-16.873,15.589,-11.967,0.7422,7.513,6,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,14.150,-11.750,2.600
semantic_constraint_016,semantic_constraint,reference_family_flat,9.589,-12.426,6.645,-18.807,-2.4736,7.027,4,1,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,7.380,-17.210,2.600
semantic_constraint_017,semantic_constraint,reference_family_flat,-18.014,-1.833,-25.622,3.755,3.0860,9.440,6,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,-24.900,1.450,2.600
semantic_constraint_018,semantic_constraint,reference_family_flat,1.618,2.299,8.995,-12.516,-0.5086,16.550,9,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,4.800,-6.250,2.600
semantic_constraint_019,semantic_constraint,reference_family_flat,15.802,5.632,21.372,-1.330,-0.3513,8.916,6,0,semantic_route_preference,Prefer the safer route and avoid the marked risk/narrow zone even if the path is longer.,18.590,0.890,2.600
