scenario,mode,algo,llm_model,episodes,success_rate,collision_rate,timeout_rate,invalid_route_rate,repaired_route_rate,strict_llm_plan_valid_rate,repairable_llm_plan_rate,mean_reward,mean_route_len,mean_route_distance,mean_semantic_cost,mean_planned_semantic_cost,mean_trajectory_semantic_cost,mean_steps_all,mean_steps_success,median_steps_success,mean_final_distance,mean_path_length_all,mean_path_length_success,mean_trajectory_turns,mean_shield_interventions,mean_subgoals_reached,mean_route_turns,mean_route_clearance_penalty,mean_route_execution_score,constraint_success_rate,safe_success_rate,llm_raw_used_rate,llm_overridden_rate,repair_invalid_route,cases,model_file,log_file,method,scenario_label,method_family
long_horizon,classical_waypoint,ppo,,100,0.81,0.0,0.19,0.0,0.0,0.0,0.0,3412.096,10.03,18.622,0.0,0.0,0.0,544.36,526.457,506.0,2.123,17.248,17.29,1.12,31.93,9.11,1.65,0.195,26.471,0.0,0.0,0.0,0.0,,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_long_horizon_100.csv,models/PPO/ppo_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/long_horizon_classical_waypoint_ppo_100ep.log,Classical waypoint (PPO),Long-horizon,Classical waypoint
long_horizon,classical_waypoint,sac,,100,0.53,0.0,0.47,0.0,0.0,0.0,0.0,1626.345,10.03,18.622,0.0,0.0,0.0,516.91,500.509,486.0,5.375,13.22,15.722,0.96,46.09,6.83,1.65,0.195,26.471,0.0,0.0,0.0,0.0,,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_long_horizon_100.csv,models/SAC/sac_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/long_horizon_classical_waypoint_sac_100ep.log,Classical waypoint (SAC),Long-horizon,Classical waypoint
long_horizon,direct,ppo,,100,0.43,0.0,0.57,0.0,0.0,0.0,0.0,1869.358,0.0,0.0,0.0,0.0,0.0,413.51,446.837,437.0,4.852,11.894,14.724,1.18,61.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_long_horizon_100.csv,models/PPO/ppo_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/long_horizon_direct_ppo_100ep.log,Direct RL (PPO),Long-horizon,Direct RL
long_horizon,direct,sac,,100,0.32,0.0,0.68,0.0,0.0,0.0,0.0,921.531,0.0,0.0,0.0,0.0,0.0,383.12,468.531,422.0,7.533,8.39,13.861,0.82,22.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_long_horizon_100.csv,models/SAC/sac_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/long_horizon_direct_sac_100ep.log,Direct RL (SAC),Long-horizon,Direct RL
long_horizon,fast_safe_route,ppo,,100,0.64,0.0,0.36,0.0,0.0,0.0,0.0,2048.547,8.19,17.049,0.0,0.0,0.0,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,0.93,0.188,22.903,0.0,0.0,0.0,0.0,,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_long_horizon_100.csv,models/PPO/ppo_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/long_horizon_fast_safe_route_ppo_100ep.log,Fast-safe route (PPO),Long-horizon,Fast-safe route
long_horizon,fast_safe_route,sac,,100,0.4,0.0,0.6,0.0,0.0,0.0,0.0,1238.973,8.19,17.049,0.0,0.0,0.0,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,0.93,0.188,22.903,0.0,0.0,0.0,0.0,,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_long_horizon_100.csv,models/SAC/sac_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/long_horizon_fast_safe_route_sac_100ep.log,Fast-safe route (SAC),Long-horizon,Fast-safe route
long_horizon,llm_route,ppo,google/gemma-3-1b,100,0.64,0.0,0.36,0.0,0.0,1.0,1.0,2048.547,8.19,17.049,0.0,0.0,0.0,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,0.93,0.188,22.903,0.0,0.0,0.42,0.58,1.0,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_long_horizon_100.csv,models/PPO/ppo_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/long_horizon_llm_route_repair_ppo_google_gemma-3-1b_100ep.log,"LLM route (PPO, gemma-3-1b)",Long-horizon,LLM route
long_horizon,llm_route,ppo,liquid/lfm2.5-1.2b,100,0.64,0.0,0.36,0.0,0.0,1.0,1.0,2048.547,8.19,17.049,0.0,0.0,0.0,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,0.93,0.188,22.903,0.0,0.0,0.05,0.95,1.0,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_long_horizon_100.csv,models/PPO/ppo_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/long_horizon_llm_route_repair_ppo_liquid_lfm2.5-1.2b_100ep.log,"LLM route (PPO, lfm2.5-1.2b)",Long-horizon,LLM route
long_horizon,llm_route,ppo,qwen/qwen3-1.7b,100,0.64,0.0,0.36,0.0,0.92,0.06,1.0,2048.547,8.19,17.049,0.0,0.0,0.0,509.94,506.938,509.5,3.16,14.797,16.634,1.52,72.94,6.96,0.93,0.188,22.903,0.0,0.0,0.07,0.01,1.0,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_long_horizon_100.csv,models/PPO/ppo_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/long_horizon_llm_route_repair_ppo_qwen_qwen3-1.7b_100ep.log,"LLM route (PPO, qwen3-1.7b)",Long-horizon,LLM route
long_horizon,llm_route,sac,google/gemma-3-1b,100,0.4,0.0,0.6,0.0,0.0,1.0,1.0,1238.973,8.19,17.049,0.0,0.0,0.0,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,0.93,0.188,22.903,0.0,0.0,0.42,0.58,1.0,<WORKSPACE>/paper_a_experiments_desktop/experiments/paper_a/cases/proactive_long_horizon_100.csv,models/SAC/sac_reference_family_flat_goalfirst_5000000_from_scratch.zip,<WORKSPACE>/paper_a_experiments_desktop/logs/eval/proactive_benchmark_20260530_162726/long_horizon_llm_route_repair_sac_google_gemma-3-1b_100ep.log,"LLM route (SAC, gemma-3-1b)",Long-horizon,LLM route
