scenario,algo,planner_mode,model,episodes,success_rate,success_ci95_low,success_ci95_high,strict_valid_rate,strict_ci95_low,strict_ci95_high,parse_ok_rate,repair_rate,collision_rate,timeout_rate,invalid_route_rate,mean_steps,mean_route_distance,mean_route_turns,mean_semantic_cost,mean_route_score,mean_node_retention,mean_edit_distance,mean_step_parse_ok,mean_step_count,raw_execution_rate,missing_edge_rate,missing_goal_rate,semantic_violation_rate,llm_error_rate
,ppo,graph_shortest,unknown,50,0.7,0.562493877226366,0.8089661091039063,0.0,0.0,0.07135003417431873,0.0,0.0,0.0,0.3,0.0,655.0,21.968681583939365,3.0,0.13931768305738915,39.09218230476509,0.0,12.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
,ppo,language_to_cost,unknown,50,0.7,0.562493877226366,0.8089661091039063,0.0,0.0,0.07135003417431873,0.0,0.0,0.0,0.3,0.0,655.0,21.968681583939365,3.0,0.13931768305738915,39.09218230476509,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
,ppo,no_llm,unknown,50,0.6,0.4618118910275937,0.7239181021375425,0.6,0.4618118910275937,0.7239181021375425,0.0,0.0,0.1,0.3,0.0,671.8,23.29214137573631,4.3,0.08861819289174845,38.09004366392421,0.0,11.7,0.0,0.0,0.0,0.0,0.0,0.4,0.0
,ppo,preference_scorer,unknown,50,0.2,0.11243629945973886,0.3303737210448524,0.42,0.2937479723456693,0.5576680331222217,0.54,0.0,0.28,0.52,0.0,624.2,29.1494613817265,8.14,0.019146684459157178,51.241399797848,1.0,0.0,0.0,0.0,0.0,0.0,0.46,0.12,0.0
,ppo,route_option_rank,unknown,50,0.6,0.4618118910275937,0.7239181021375425,0.26,0.15871379651367384,0.3955342198899992,0.04,0.0,0.06,0.34,0.0,665.2,23.35403800938462,3.74,0.11276950601992158,39.38319890083055,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0
,ppo,weighted_scorer,unknown,50,0.4,0.2760818978624575,0.5381881089724063,0.1,0.04347512399157111,0.2136049033478839,0.7,0.0,0.1,0.5,0.0,586.8,23.54061153467831,5.7,0.0802136642271201,41.30315507939752,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.0
semantic_constraint,ppo,graph_shortest,unknown,50,0.7,0.562493877226366,0.8089661091039063,0.0,0.0,0.07135003417431873,0.0,0.0,0.0,0.3,,655.0,21.968681583939368,3.0,0.13931768305738912,39.092182304765075,0.0,12.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
semantic_constraint,ppo,language_to_cost,unknown,100,0.65,0.5525426042919797,0.7363589534652197,0.26,0.18404578126986462,0.35371172631861636,0.5,0.0,0.05,0.3,,659.72,22.40862636803022,3.49,0.11801518719280625,38.3769838313896,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.74,0.0
semantic_constraint,ppo,no_llm,unknown,50,0.6,0.4618118910275937,0.7239181021375425,0.6,0.4618118910275937,0.7239181021375425,0.0,0.0,0.1,0.3,,671.8,23.292141375736303,4.3,0.08861819289174844,38.090043663924206,0.0,11.7,0.0,0.0,0.0,0.0,0.0,0.4,0.0
semantic_constraint,ppo,preference_scorer,unknown,50,0.2,0.11243629945973886,0.3303737210448524,0.42,0.2937479723456693,0.5576680331222217,0.54,0.0,0.28,0.52,,624.2,29.149461381726518,8.14,0.01914668445915718,51.241399797848,1.0,0.0,13.5,13.5,0.0,0.0,0.46,0.12,0.0
semantic_constraint,ppo,route_option_rank,unknown,100,0.65,0.5525426042919797,0.7363589534652197,0.17,0.10893476059773154,0.25548181233642975,0.52,0.0,0.03,0.32,,660.51,22.768894355685728,3.54,0.12263282557762338,38.85432672323298,1.0,0.0,0.52,1.0,0.0,0.0,0.0,0.83,0.0
semantic_constraint,ppo,weighted_scorer,unknown,50,0.4,0.2760818978624575,0.5381881089724063,0.1,0.04347512399157111,0.2136049033478839,0.7,0.0,0.1,0.5,,586.8,23.540611534678302,5.7,0.0802136642271201,41.3031550793975,1.0,0.0,10.9,10.9,0.0,0.0,0.3,0.6,0.0
