scenario,algo,planner_mode,model,episodes,success_rate,success_ci95_low,success_ci95_high,strict_valid_rate,strict_ci95_low,strict_ci95_high,parse_ok_rate,repair_rate,collision_rate,timeout_rate,invalid_route_rate,mean_steps,mean_route_distance,mean_route_turns,mean_semantic_cost,mean_route_score,mean_node_retention,mean_edit_distance,mean_step_parse_ok,mean_step_count,raw_execution_rate,missing_edge_rate,missing_goal_rate,semantic_violation_rate,llm_error_rate
long_horizon,ppo,llm_step,canonical_liquid_lfm2.5-1.2b,100,0.72,0.6251178763865427,0.7986044083240164,0.96,0.9016278276739262,0.984336949448152,0.96,0.0,0.17,0.11,0.0,535.41,20.69666098035502,4.71,0.0,32.622160980355034,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
long_horizon,ppo,llm_step,consistency_gate_gate_balanced_v5_m3_c0.60_liquid_lfm2.5-1.2b,100,0.77,0.6784543514317231,0.841568452531236,0.97,0.915479219195973,0.9897456617765851,0.66,0.0,0.1,0.13,0.0,538.18,19.424946585061267,2.63,0.0,27.593802232809566,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
long_horizon,ppo,llm_step,consistency_gate_gate_lenient_v3_m2_c0.50_liquid_lfm2.5-1.2b,100,0.75,0.6569535362992417,0.8245490599627573,0.98,0.9299868370580063,0.9944981477650318,0.76,0.0,0.11,0.14,0.0,535.94,19.861388054408927,2.95,0.0,28.686743702157244,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
long_horizon,ppo,llm_step,consistency_gate_gate_strict_v5_m4_c0.80_liquid_lfm2.5-1.2b,100,0.81,0.7222097592919214,0.8748534600729574,1.0,0.9630051925239981,0.9999999999999999,0.41,0.0,0.1,0.09,0.0,540.21,18.91408112542889,1.89,0.0,25.677436773177174,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long_horizon,ppo,llm_step,shuffle_order_liquid_lfm2.5-1.2b,100,0.08,0.04109296948581091,0.14998266879403072,0.36,0.2727107459049014,0.45764780018837914,0.36,0.0,0.12,0.8,0.0,641.94,34.105966294984626,12.0,0.0,61.18696629498463,1.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0
long_horizon,ppo,llm_step_order_ensemble,order_ensemble_liquid_lfm2.5-1.2b,100,0.72,0.6251178763865427,0.7986044083240164,0.96,0.9016278276739262,0.984336949448152,0.96,0.0,0.17,0.11,0.0,535.41,20.69666098035502,4.71,0.0,32.622160980355034,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
long_horizon,ppo,no_llm,graph_no_llm,100,0.81,0.7222097592919214,0.8748534600729574,1.0,0.9630051925239981,0.9999999999999999,0.0,0.0,0.1,0.09,0.0,540.75,18.633591106050083,1.5,0.0,24.574591106050057,0.0,10.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
semantic_constraint,ppo,llm_step,canonical_liquid_lfm2.5-1.2b,100,0.63,0.5322034757513312,0.7181778743049083,0.28,0.2013955916759837,0.37488212361345724,0.8,0.0,0.17,0.2,0.0,500.97,21.40620367020935,6.43,0.095098728664324,40.93816330767207,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.52,0.0
semantic_constraint,ppo,llm_step,consistency_gate_gate_balanced_v5_m3_c0.60_liquid_lfm2.5-1.2b,100,0.73,0.6356769977376873,0.8073053908233518,0.67,0.5730516033971139,0.7543701620610456,0.61,0.0,0.11,0.16,0.0,498.4,18.39964754562119,3.99,0.07671247254885034,30.58080681990046,1.0,0.0,0.0,0.0,0.0,0.02,0.06,0.25,0.0
semantic_constraint,ppo,llm_step,consistency_gate_gate_lenient_v3_m2_c0.50_liquid_lfm2.5-1.2b,100,0.69,0.5937376052204429,0.7722043679386762,0.61,0.5120283616749817,0.699832780680298,0.75,0.0,0.15,0.16,0.0,494.87,19.297914484505558,4.81,0.07598949275515733,33.374212391576485,1.0,0.0,0.0,0.0,0.0,0.02,0.08,0.29,0.0
semantic_constraint,ppo,llm_step,consistency_gate_gate_strict_v5_m4_c0.80_liquid_lfm2.5-1.2b,100,0.76,0.6676748127670786,0.8330878873454004,0.71,0.6146092505999207,0.7898529302601586,0.32,0.0,0.1,0.14,0.0,519.79,18.668844932974782,3.45,0.08143206633993329,29.935224277416708,1.0,0.0,0.0,0.0,0.0,0.02,0.0,0.27,0.0
semantic_constraint,ppo,llm_step,shuffle_order_liquid_lfm2.5-1.2b,100,0.13,0.07757093858414264,0.20980521894809878,0.21,0.14165549531645788,0.2998014930196232,0.37,0.0,0.12,0.75,0.0,621.85,30.05504529844635,10.19,0.025527749556231428,55.62540685047108,1.0,0.0,0.0,0.0,0.0,0.0,0.63,0.16,0.0
semantic_constraint,ppo,llm_step_order_ensemble,order_ensemble_liquid_lfm2.5-1.2b,100,0.57,0.4721521169586435,0.6626686099947162,0.31,0.22779563206132378,0.40626239477955695,0.78,0.0,0.19,0.24,0.0,499.47,21.848918766772808,6.51,0.08969991983253552,41.19914033911819,1.0,0.0,0.0,0.0,0.0,0.0,0.22,0.47,0.0
semantic_constraint,ppo,no_llm,graph_no_llm,100,0.78,0.6892946528499969,0.849988254963442,0.71,0.6146092505999207,0.7898529302601586,0.0,0.0,0.09,0.13,0.0,519.82,18.42730620998877,3.15,0.08234859261515018,29.0801855544307,0.0,9.09,0.0,0.0,0.0,0.02,0.0,0.27,0.0
